kind,output_category,entry,note
keyword,images,image,
keyword,images,images,
keyword,images,imagery,
keyword,images,illustration,
keyword,images,illustrations,
keyword,images,illustrated,
keyword,images,art,
keyword,images,artwork,
keyword,images,artworks,
keyword,images,concept art,
keyword,images,cover art,
keyword,images,drawing,
keyword,images,drawings,
keyword,images,painting,
keyword,images,paintings,
keyword,images,portrait,
keyword,images,portraits,
keyword,images,picture,
keyword,images,pictures,
keyword,images,photo,
keyword,images,photos,
keyword,images,photographs,
keyword,images,poster,
keyword,images,posters,
keyword,images,visual,
keyword,images,visuals,
keyword,images,graphic,
keyword,images,graphics,
keyword,images,graphic design,
keyword,images,icon,
keyword,images,icons,
keyword,images,sprite,
keyword,images,sprites,
keyword,images,texture,
keyword,images,textures,
keyword,images,render,
keyword,images,renders,
keyword,images,rendering,
keyword,images,mockup,
keyword,images,mockups,
keyword,images,logo,
keyword,images,logos,
keyword,images,sketch,
keyword,images,sketches,
keyword,images,backgrounds,
keyword,images,graphical,
keyword,images,pin-ups,
keyword,images,imágenes,
keyword,images,bilder,
keyword,images,bildern,
keyword,images,hintergründe,
keyword,images,portada,
keyword,images,visuales,
keyword,images,artes,
keyword,text,text,
keyword,text,texts,
keyword,text,copy,
keyword,text,copywriting,
keyword,text,description,
keyword,text,descriptions,
keyword,text,story,
keyword,text,stories,
keyword,text,storyline,
keyword,text,narrative,
keyword,text,writing,
keyword,text,write,
keyword,text,written,
keyword,text,wording,
keyword,text,blurb,
keyword,text,script,
keyword,text,scripts,
keyword,text,dialogue,
keyword,text,lore,
keyword,text,wording,
keyword,text,drafting,
keyword,text,drafts,
keyword,text,brainstorm,
keyword,text,brainstorming,
keyword,text,marketing copy,
keyword,text,marketing texts,
keyword,text,paraphrase,
keyword,text,storytelling,
keyword,text,writeups,
keyword,language_translation,translate,
keyword,language_translation,translated,
keyword,language_translation,translating,
keyword,language_translation,translation,
keyword,language_translation,translations,
keyword,language_translation,proofread,
keyword,language_translation,proofreading,
keyword,language_translation,proofreader,
keyword,language_translation,grammar,
keyword,language_translation,grammatical,
keyword,language_translation,spelling,
keyword,language_translation,spell check,
keyword,language_translation,spellcheck,
keyword,language_translation,readability,
keyword,language_translation,fluency,
keyword,language_translation,not my native,
keyword,language_translation,not our native,
keyword,language_translation,non-native,
keyword,language_translation,native language,
keyword,language_translation,native speaker,
keyword,language_translation,native speakers,
keyword,language_translation,english is not,
keyword,language_translation,second language,
keyword,language_translation,rechtschreibung,
keyword,audio_video,music,
keyword,audio_video,soundtrack,
keyword,audio_video,audio,
keyword,audio_video,voice,
keyword,audio_video,voices,
keyword,audio_video,voiceover,
keyword,audio_video,voice-over,
keyword,audio_video,voice acting,
keyword,audio_video,narration,
keyword,audio_video,sound,
keyword,audio_video,sounds,
keyword,audio_video,sound effects,
keyword,audio_video,song,
keyword,audio_video,songs,
keyword,audio_video,video,
keyword,audio_video,videos,
keyword,audio_video,animation,
keyword,audio_video,animations,
keyword,audio_video,animated,
keyword,audio_video,trailer,
keyword,audio_video,trailers,
keyword,audio_video,audiobook,
keyword,audio_video,audiobooks,
keyword,audio_video,narrating,
keyword,functional_product,machine learning,
keyword,functional_product,neural network,
keyword,functional_product,neural networks,
keyword,functional_product,language model,
keyword,functional_product,ai model,
keyword,functional_product,ai models,
keyword,functional_product,llm,
keyword,functional_product,llms,
keyword,functional_product,chatbot,
keyword,functional_product,chatbots,
keyword,functional_product,algorithm,
keyword,functional_product,algorithms,
keyword,functional_product,recommendation engine,
keyword,functional_product,image processing,
keyword,functional_product,image recognition,
keyword,functional_product,speech recognition,
keyword,functional_product,object detection,
keyword,functional_product,data extraction,
keyword,functional_product,data analysis,
keyword,functional_product,analytics,
keyword,functional_product,automation,
keyword,functional_product,ai-powered,
keyword,functional_product,ai powered,
keyword,functional_product,powered by ai,
keyword,functional_product,ai features,
keyword,functional_product,ai assistant,
keyword,functional_product,ai engine,
keyword,functional_product,ai app,
keyword,functional_product,ai tool we are building,
keyword,functional_product,recommendation,
keyword,functional_product,recommendations,
keyword,functional_product,ai-driven,
keyword,functional_product,ai driven,
keyword,functional_product,spam,
keyword,functional_product,moderations,
keyword,functional_product,classifier,
keyword,functional_product,retrieval augmented,
keyword,functional_product,vector database,
keyword,functional_product,npc,
keyword,functional_product,ai characters,
tool,images,MidJourney,
tool,text,ChatGPT,
tool,images,DALL-E,
tool,images,Stable Diffusion,
tool,images,Adobe Firefly,
tool,images,Photoshop AI,
tool,images,Leonardo AI,
tool,images,Ideogram,
tool,images,Recraft,
tool,images,Krea,
tool,images,Fotor,
tool,images,Canva,
tool,text,NovelAI,
tool,text,Claude,
tool,text,Gemini,
tool,text,Grok,
tool,text,Copilot,
tool,audio_video,ElevenLabs,
tool,audio_video,Suno,
tool,audio_video,Udio,
tool,audio_video,Runway,
tool,audio_video,Sora,
tool,audio_video,Pika,
tool,audio_video,Kling,
tool,audio_video,Synthesia,
tool,audio_video,HeyGen,
tool,audio_video,Whisper,
tool,language_translation,DeepL,
tool,language_translation,Grammarly,
tool,,ComfyUI,"discovery-only (counted, assigns no output label)"
tool,text,DeepSeek,
tool,audio_video,VEED,
tool,functional_product,Langchain,
tool,,OpenAI,"discovery-only (counted, assigns no output label)"
rejected,,ai technology,generic process or boilerplate word
rejected,,content,generic process or boilerplate word
rejected,,create,generic process or boilerplate word
rejected,,generate,generic process or boilerplate word
rejected,,tool,generic process or boilerplate word
rejected,,work,generic process or boilerplate word
rejected,,analyse,"names a human medium or product feature, not an AI output"
rejected,,analyze,"names a human medium or product feature, not an AI output"
rejected,,covers,"names a human medium or product feature, not an AI output"
rejected,,personalized,"names a human medium or product feature, not an AI output"
rejected,,photography,"names a human medium or product feature, not an AI output"
rejected,,reels,"names a human medium or product feature, not an AI output"
