category,n,ai_n,rate,ci_lo,ci_hi
Games,2529,467,0.18465796757611705,0.1700174996739071,0.20025496864651193
Publishing,1600,196,0.1225,0.10733300699649488,0.139475339704503
Film & Video,1334,117,0.08770614692653673,0.07368632009472387,0.10409368309925215
Technology,1224,397,0.3243464052287582,0.29870573884792995,0.3510861810206408
Design,1010,107,0.10594059405940594,0.08843069028781857,0.12643669053078005
Comics,894,46,0.05145413870246085,0.03879572929732797,0.06795079914678223
Art,871,45,0.05166475315729047,0.03883420077767892,0.06843261639946317
Music,717,30,0.04184100418410042,0.029463416277265994,0.059101771034216974
Fashion,598,52,0.08695652173913043,0.06692759080751635,0.11225823503021991
Food,526,63,0.11977186311787072,0.0947443601152024,0.15031282946571983
Crafts,247,14,0.05668016194331984,0.0340599486444397,0.09287863229017784
Photography,225,8,0.035555555555555556,0.018124653401168287,0.06857929842902558
Theater,139,9,0.06474820143884892,0.034435015355157216,0.11847198379302792
Journalism,74,14,0.1891891891891892,0.11617969565388558,0.292875572633231
Dance,35,0,0.0,0.0,0.09890099236623152
